userid,itemid,rating,timestamp
548,5,3.0,857405447
292,1721,4.5,1140051202
73,3706,4.5,1464750953
378,95873,3.5,1443294223
165,1393,5.0,1111612302
553,59369,3.0,1423010662
104,42738,3.5,1446674082
283,6296,3.0,1115170015
548,544,3.0,857407872
353,1220,3.0,1157420794
422,3174,4.0,980859862
614,1013,4.0,1010620073
580,45499,3.0,1217951491
165,5170,2.5,1111544956
212,2394,3.0,1228789780
620,84152,3.0,1455532410
73,2340,0.5,1256028414
468,5139,3.0,1296191564
200,2427,3.0,1438019650
179,80693,4.0,1436670477
57,1035,5.0,907765600
577,2078,5.0,1111550822
195,2995,2.0,978700402
388,3897,5.0,973838986
529,4190,3.0,1400777348
412,3354,1.0,993087731
470,6541,3.5,1234089133
355,1732,4.0,1130106000
195,330,1.0,976288108
390,9,3.0,867076328
417,5602,4.0,1112587495
547,127202,3.0,1444896562
150,48516,5.0,1233053823
664,72011,3.5,1393890900
571,27660,4.0,1334343643
34,1036,4.0,973748196
313,33615,4.0,1130952655
242,2272,5.0,956689647
311,1265,3.5,1062014571
452,3810,2.0,976424405
533,1962,4.0,965317961
462,104,4.5,1115312685
580,145,2.0,1167161239
547,2727,4.0,1157943887
547,25777,3.5,1126235776
301,107,1.0,1245880619
119,145,4.0,913050230
205,26662,4.0,1442148486
294,4700,3.5,1055279010
605,745,4.0,980176187
561,3686,5.0,1173150744
195,356,2.0,976289373
232,2399,1.0,955088252
204,432,1.5,1096531189
15,1120,1.0,1055439464
235,318,5.0,1111625666
175,2028,1.0,1052835797
564,85,4.0,974842470
559,637,3.0,883676321
487,497,5.0,832838523
468,68157,3.0,1296196663
313,1201,2.0,1168878094
155,1210,5.0,943350140
480,55765,2.0,1272670402
326,3412,4.0,966009930
236,1387,4.5,1109970492
401,1580,5.0,977458980
561,3275,4.5,1172695142
419,2001,2.5,1110049620
434,893,5.0,886372990
452,1894,1.0,976422942
348,3089,5.0,960838461
580,2005,2.5,1269895353
580,1375,3.0,1244826711
327,3285,4.5,1225363764
480,66297,4.5,1272666139
518,2385,1.0,945361935
15,84392,2.5,1367801369
19,1103,4.0,855191882
439,2174,3.0,1041115163
647,229,5.0,947292753
384,2054,2.5,1153149604
468,252,2.0,1296197360
648,30749,5.0,1138487517
23,7419,3.5,1148671745
73,4975,3.5,1272354473
72,6502,3.5,1461783983
304,778,5.0,1352656215
19,373,4.0,855191816
468,8338,3.5,1296192385
468,6513,3.0,1296199390
349,4367,3.0,1019266478
358,1641,4.0,957480490
96,913,5.0,1223256273
288,292,3.0,845862233
418,158,4.0,1132176938
428,256,2.0,1304130936
157,55684,3.0,1362938622
479,99114,4.0,1409004240
15,62,2.0,1093028336
